campaign_id,campaign_name,account_id,account_name,account_currency,date,impressions,clicks,spend,cpc,cpm,ctr,reach,frequency,_weld_synced
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-04,9563,150,82.74,0.55,8.65,1.5712,8583,1.11,2024-07-05T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-04,3032,113,32.01,0.28,10.56,3.7325,2202,1.38,2024-07-05T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-04,3344,121,37.17,0.31,11.12,3.6247,2702,1.24,2024-07-05T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-04,7371,148,66.68,0.45,9.05,2.0184,5401,1.36,2024-07-05T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-04,2866,108,31.38,0.29,10.95,3.7819,2115,1.36,2024-07-05T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-05,7296,142,84.0,0.59,11.51,1.9547,6793,1.07,2024-07-06T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-05,8591,169,85.47,0.51,9.95,1.9772,7617,1.13,2024-07-06T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-05,3953,156,38.88,0.25,9.84,3.9702,2976,1.33,2024-07-06T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-05,3281,117,32.76,0.28,9.98,3.5916,2928,1.12,2024-07-06T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-05,9410,190,86.25,0.45,9.17,2.0225,8275,1.14,2024-07-06T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-05,4152,152,39.81,0.26,9.59,3.6665,3673,1.13,2024-07-06T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-06,7999,153,81.76,0.53,10.22,1.922,6081,1.32,2024-07-07T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-06,7453,120,68.38,0.57,9.17,1.6136,6283,1.19,2024-07-07T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-06,2995,106,33.92,0.32,11.33,3.5644,2560,1.17,2024-07-07T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-06,3594,112,39.02,0.35,10.86,3.1341,3285,1.09,2024-07-07T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-06,5883,96,68.86,0.72,11.7,1.6466,5581,1.05,2024-07-07T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-06,3549,131,32.39,0.25,9.13,3.712,3158,1.12,2024-07-07T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-07,7572,145,75.04,0.52,9.91,1.9158,5773,1.31,2024-07-08T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-07,7637,140,71.42,0.51,9.35,1.8337,5463,1.4,2024-07-08T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-07,3310,123,29.93,0.24,9.04,3.7167,3054,1.08,2024-07-08T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-07,3123,95,36.07,0.38,11.55,3.0488,2309,1.35,2024-07-08T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-07,5526,90,64.34,0.71,11.64,1.633,4638,1.19,2024-07-08T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-07,4050,151,38.09,0.25,9.4,3.7503,3722,1.09,2024-07-08T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-08,9416,156,86.74,0.56,9.21,1.6622,7712,1.22,2024-07-09T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-08,8601,145,81.07,0.56,9.43,1.6932,8115,1.06,2024-07-09T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-08,5102,195,45.18,0.23,8.86,3.8413,4180,1.22,2024-07-09T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-08,4414,159,40.97,0.26,9.28,3.6237,3824,1.15,2024-07-09T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-08,8456,147,80.63,0.55,9.54,1.745,6664,1.27,2024-07-09T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-08,4231,135,41.29,0.31,9.76,3.202,3279,1.29,2024-07-09T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-09,7621,127,77.22,0.61,10.13,1.6686,7027,1.08,2024-07-10T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-09,6463,114,72.82,0.64,11.27,1.7677,4589,1.41,2024-07-10T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-09,2603,90,30.41,0.34,11.68,3.4605,2178,1.2,2024-07-10T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-09,3088,97,37.97,0.39,12.3,3.1618,2878,1.07,2024-07-10T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-09,6184,106,64.52,0.61,10.43,1.728,4683,1.32,2024-07-10T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-09,2967,108,34.15,0.32,11.51,3.6483,2792,1.06,2024-07-10T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-10,7536,119,68.46,0.58,9.08,1.5923,6080,1.24,2024-07-11T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-10,5535,97,66.69,0.69,12.05,1.7617,4750,1.17,2024-07-11T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-10,3629,145,37.36,0.26,10.29,4.0093,3316,1.09,2024-07-11T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-10,3853,145,39.84,0.27,10.34,3.7883,3389,1.14,2024-07-11T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-10,5754,104,71.05,0.68,12.35,1.813,5314,1.08,2024-07-11T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-10,4234,158,39.48,0.25,9.32,3.7445,3900,1.09,2024-07-11T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-11,6325,97,76.13,0.78,12.04,1.5488,4682,1.35,2024-07-12T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-11,6570,119,63.32,0.53,9.64,1.8207,4797,1.37,2024-07-12T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-11,4445,156,39.36,0.25,8.85,3.5219,3184,1.4,2024-07-12T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-11,3069,96,37.43,0.39,12.2,3.1348,2258,1.36,2024-07-12T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-11,6223,105,76.74,0.73,12.33,1.6922,4783,1.3,2024-07-12T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-11,3360,102,36.67,0.36,10.91,3.0451,2852,1.18,2024-07-12T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-12,9046,163,79.95,0.49,8.84,1.8046,8278,1.09,2024-07-13T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-12,5494,89,62.16,0.7,11.31,1.6217,4616,1.19,2024-07-13T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-12,4845,176,40.7,0.23,8.4,3.6481,4043,1.2,2024-07-13T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-12,4720,158,39.83,0.25,8.44,3.3685,4077,1.16,2024-07-13T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-12,8521,134,78.96,0.59,9.27,1.5804,7500,1.14,2024-07-13T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-12,4583,144,39.18,0.27,8.55,3.1587,3771,1.22,2024-07-13T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-13,5853,104,61.09,0.59,10.44,1.7917,4635,1.26,2024-07-14T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-13,6493,126,75.85,0.6,11.68,1.9459,4848,1.34,2024-07-14T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-13,3703,127,32.67,0.26,8.82,3.4335,2891,1.28,2024-07-14T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-13,3534,129,40.17,0.31,11.37,3.6672,2745,1.29,2024-07-14T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-13,5871,115,71.68,0.62,12.21,1.9615,5360,1.1,2024-07-14T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-13,3745,147,39.5,0.27,10.55,3.9509,3185,1.18,2024-07-14T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-14,8604,141,75.16,0.53,8.74,1.6435,7682,1.12,2024-07-15T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-14,7906,151,70.13,0.46,8.87,1.9152,5549,1.42,2024-07-15T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-14,3440,125,40.2,0.32,11.69,3.6541,2451,1.4,2024-07-15T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-14,3546,140,40.7,0.29,11.48,3.9551,3303,1.07,2024-07-15T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-14,7738,139,76.24,0.55,9.85,1.8028,6852,1.13,2024-07-15T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-14,3496,137,42.57,0.31,12.18,3.936,3036,1.15,2024-07-15T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-15,6715,104,68.9,0.66,10.26,1.5618,5866,1.14,2024-07-16T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-15,5923,120,71.18,0.59,12.02,2.0363,4541,1.3,2024-07-16T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-15,3776,122,38.73,0.32,10.26,3.2395,3486,1.08,2024-07-16T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-15,3356,107,35.53,0.33,10.59,3.19,3022,1.11,2024-07-16T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-15,10006,169,84.79,0.5,8.47,1.6917,8425,1.19,2024-07-16T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-15,3423,119,42.74,0.36,12.49,3.5047,2469,1.39,2024-07-16T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-16,7234,148,76.11,0.51,10.52,2.0475,5771,1.25,2024-07-17T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-16,6246,115,67.81,0.59,10.86,1.8421,4890,1.28,2024-07-17T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-16,4019,160,36.52,0.23,9.09,4.0029,3774,1.06,2024-07-17T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-16,3803,130,33.19,0.26,8.73,3.4223,3138,1.21,2024-07-17T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-16,6870,129,69.6,0.54,10.13,1.8867,5589,1.23,2024-07-17T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-16,3827,141,39.73,0.28,10.38,3.6849,3186,1.2,2024-07-17T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-17,8289,140,84.04,0.6,10.14,1.6999,6151,1.35,2024-07-18T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-17,7606,152,78.59,0.52,10.33,2.0006,5831,1.3,2024-07-18T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-17,4166,138,36.05,0.26,8.65,3.3313,3204,1.3,2024-07-18T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-17,3585,128,40.14,0.31,11.2,3.5753,2791,1.28,2024-07-18T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-17,7964,129,77.69,0.6,9.76,1.6263,6856,1.16,2024-07-18T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-17,4065,158,37.62,0.24,9.25,3.9014,3161,1.29,2024-07-18T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-18,7615,149,67.82,0.46,8.91,1.9599,6480,1.18,2024-07-19T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-18,8418,154,78.54,0.51,9.33,1.8368,7040,1.2,2024-07-19T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-18,3942,122,33.98,0.28,8.62,3.1124,3557,1.11,2024-07-19T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-18,4118,145,35.49,0.24,8.62,3.5344,3555,1.16,2024-07-19T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-18,5855,103,66.44,0.65,11.35,1.7694,4819,1.21,2024-07-19T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-18,4259,152,39.41,0.26,9.25,3.5904,3249,1.31,2024-07-19T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-19,7925,144,68.78,0.48,8.68,1.8191,7198,1.1,2024-07-20T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-19,5225,101,63.6,0.63,12.17,1.9337,4430,1.18,2024-07-20T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-19,2783,91,32.36,0.36,11.63,3.2728,2331,1.19,2024-07-20T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-19,3021,108,37.18,0.34,12.31,3.5933,2313,1.31,2024-07-20T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-19,7912,142,67.33,0.47,8.51,1.7959,7327,1.08,2024-07-20T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-19,3249,124,34.35,0.28,10.57,3.8438,2502,1.3,2024-07-20T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-20,8507,157,77.15,0.49,9.07,1.8469,6018,1.41,2024-07-21T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-20,7700,152,70.16,0.46,9.11,1.9774,5791,1.33,2024-07-21T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-20,4325,171,37.85,0.22,8.75,3.9569,3388,1.28,2024-07-21T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-20,3995,130,37.56,0.29,9.4,3.2735,3694,1.08,2024-07-21T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-20,7874,121,72.71,0.6,9.23,1.5416,6407,1.23,2024-07-21T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-20,3848,125,43.44,0.35,11.29,3.2608,2930,1.31,2024-07-21T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-21,5110,83,60.77,0.73,11.89,1.6264,4504,1.13,2024-07-22T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-21,5072,102,59.08,0.58,11.65,2.0184,4030,1.26,2024-07-22T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-21,2530,96,29.59,0.31,11.7,3.8308,2364,1.07,2024-07-22T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-21,3764,135,34.91,0.26,9.27,3.5871,2799,1.34,2024-07-22T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-21,6769,122,62.58,0.51,9.25,1.8149,5608,1.21,2024-07-22T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-21,4055,146,36.99,0.25,9.12,3.6222,3365,1.21,2024-07-22T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-22,7980,147,67.18,0.46,8.42,1.8546,7346,1.09,2024-07-23T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-22,9569,191,84.91,0.44,8.87,1.9971,7791,1.23,2024-07-23T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-22,3251,129,35.0,0.27,10.77,3.9754,2757,1.18,2024-07-23T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-22,2984,114,35.53,0.31,11.91,3.8303,2305,1.29,2024-07-23T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-22,9128,144,81.33,0.56,8.91,1.584,8162,1.12,2024-07-23T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-22,3946,117,33.63,0.29,8.52,2.9889,3423,1.15,2024-07-23T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-23,8241,156,83.6,0.54,10.14,1.897,6699,1.23,2024-07-24T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-23,6873,132,70.02,0.53,10.19,1.9273,5856,1.17,2024-07-24T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-23,3806,126,35.07,0.28,9.21,3.3166,2938,1.3,2024-07-24T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-23,3297,103,32.29,0.31,9.79,3.1394,2690,1.23,2024-07-24T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-23,8430,155,78.55,0.51,9.32,1.8466,6527,1.29,2024-07-24T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-23,3985,158,34.41,0.22,8.63,3.9839,3023,1.32,2024-07-24T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-24,7391,149,68.96,0.46,9.33,2.0185,6438,1.15,2024-07-25T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-24,6056,120,62.64,0.52,10.34,1.9832,4586,1.32,2024-07-25T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-24,3779,116,35.97,0.31,9.52,3.0748,2844,1.33,2024-07-25T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-24,2791,104,33.86,0.33,12.13,3.7589,2218,1.26,2024-07-25T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-24,6715,128,68.82,0.54,10.25,1.9178,6274,1.07,2024-07-25T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-24,3959,121,36.23,0.3,9.15,3.0705,3098,1.28,2024-07-25T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-25,5891,110,71.7,0.65,12.17,1.87,4241,1.39,2024-07-26T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-25,7070,127,85.42,0.67,12.08,1.7968,5095,1.39,2024-07-26T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-25,3988,133,40.79,0.31,10.23,3.3493,3047,1.31,2024-07-26T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-25,4442,177,39.99,0.23,9.0,4.0059,3902,1.14,2024-07-26T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-25,7066,117,86.12,0.74,12.19,1.6693,5066,1.39,2024-07-26T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-25,3454,137,38.06,0.28,11.02,3.9723,2549,1.36,2024-07-26T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-26,8606,139,87.33,0.63,10.15,1.6247,6605,1.3,2024-07-27T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-26,9087,155,86.0,0.55,9.46,1.709,6648,1.37,2024-07-27T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-26,4936,175,42.33,0.24,8.58,3.553,4389,1.12,2024-07-27T00:00:00
MC004,Retargeting - Add to Cart 7d,act_123456789,Vitalis UK,GBP,2024-07-26,4388,176,37.61,0.21,8.57,4.0246,3303,1.33,2024-07-27T00:00:00
MC005,Prospecting - Interest - Wellness,act_123456789,Vitalis UK,GBP,2024-07-26,8152,126,73.42,0.58,9.01,1.5463,7317,1.11,2024-07-27T00:00:00
MC006,DPA - Catalogue Sales,act_123456789,Vitalis UK,GBP,2024-07-26,4428,176,42.18,0.24,9.53,3.9907,3448,1.28,2024-07-27T00:00:00
MC001,Prospecting - Broad - CBD Oils,act_123456789,Vitalis UK,GBP,2024-07-27,7859,139,73.66,0.53,9.37,1.7796,7419,1.06,2024-07-28T00:00:00
MC002,Prospecting - Lookalike - Purchasers,act_123456789,Vitalis UK,GBP,2024-07-27,6907,136,66.93,0.49,9.69,1.9761,5301,1.3,2024-07-28T00:00:00
MC003,Retargeting - Website Visitors 30d,act_123456789,Vitalis UK,GBP,2024-07-27,3140,94,32.63,0.35,10.39,2.9945,2607,1.2,2024-07-28T00:00:00
