campaign_id,campaign_name,account_id,account_descriptive_name,date,impressions,clicks,cost_micros,conversions,conversions_value,device,ad_network_type,_weld_synced
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-15,6201,335,67080000,6.8,322.7,TABLET,SEARCH,2024-07-16T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-15,5070,290,46680000,7.5,328.5,TABLET,SEARCH_PARTNERS,2024-07-16T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-15,7972,509,65680000,16.6,626.1,DESKTOP,SEARCH,2024-07-16T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-16,3132,170,26640000,15.1,552.72,DESKTOP,SEARCH,2024-07-17T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-16,3003,200,47860000,5.1,232.41,DESKTOP,SEARCH,2024-07-17T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-16,8145,298,55130000,8.5,525.19,MOBILE,SEARCH,2024-07-17T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-16,3358,212,46170000,7.5,462.06,MOBILE,SEARCH_PARTNERS,2024-07-17T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-16,6917,287,68500000,10.3,404.23,DESKTOP,SEARCH,2024-07-17T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-17,2207,114,28960000,9.5,448.55,TABLET,SEARCH,2024-07-18T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-17,7821,325,54480000,5.8,287.64,DESKTOP,SEARCH,2024-07-18T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-17,9221,294,62890000,7.9,376.75,TABLET,SEARCH,2024-07-18T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-17,5062,154,46200000,5.7,296.85,TABLET,SEARCH_PARTNERS,2024-07-18T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-17,8724,415,68780000,10.7,434.83,MOBILE,SEARCH,2024-07-18T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-18,2317,152,27670000,14.5,510.95,TABLET,SEARCH,2024-07-19T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-18,7453,513,55940000,14.9,729.79,DESKTOP,SEARCH,2024-07-19T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-18,9446,306,65080000,7.0,428.52,MOBILE,SEARCH,2024-07-19T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-18,5858,325,52580000,13.3,469.95,MOBILE,SEARCH_PARTNERS,2024-07-19T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-18,6795,359,73550000,9.3,572.73,DESKTOP,SEARCH,2024-07-19T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-19,1835,57,30360000,4.5,252.25,TABLET,SEARCH,2024-07-20T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-19,5011,232,58780000,5.1,295.03,TABLET,SEARCH,2024-07-20T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-19,4770,231,56390000,5.6,277.99,DESKTOP,SEARCH,2024-07-20T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-19,6098,232,43480000,10.4,626.84,MOBILE,SEARCH_PARTNERS,2024-07-20T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-19,3975,176,64360000,4.2,162.16,TABLET,SEARCH,2024-07-20T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-20,2234,114,28970000,11.4,739.38,TABLET,SEARCH,2024-07-21T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-20,3686,163,50020000,4.5,209.38,DESKTOP,SEARCH,2024-07-21T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-20,7120,470,62680000,12.9,697.86,TABLET,SEARCH,2024-07-21T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-20,6570,367,52320000,12.0,642.07,TABLET,SEARCH_PARTNERS,2024-07-21T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-20,8520,539,58170000,18.8,1041.06,TABLET,SEARCH,2024-07-21T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-21,3312,222,28460000,15.7,1020.17,TABLET,SEARCH,2024-07-22T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-21,3605,241,56580000,4.4,203.78,TABLET,SEARCH,2024-07-22T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-21,6932,249,55600000,4.6,293.8,TABLET,SEARCH,2024-07-22T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-21,4059,234,45380000,9.5,473.52,DESKTOP,SEARCH_PARTNERS,2024-07-22T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-21,9371,357,63040000,10.0,563.92,TABLET,SEARCH,2024-07-22T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-22,1840,109,24270000,11.0,692.25,DESKTOP,SEARCH,2024-07-23T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-22,8087,419,56490000,13.1,510.95,DESKTOP,SEARCH,2024-07-23T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-22,8696,558,61280000,13.2,471.27,MOBILE,SEARCH,2024-07-23T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-22,7084,447,52250000,14.5,891.72,TABLET,SEARCH_PARTNERS,2024-07-23T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-22,5989,254,63100000,5.6,281.35,MOBILE,SEARCH,2024-07-23T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-23,2759,174,30530000,12.6,790.27,TABLET,SEARCH,2024-07-24T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-23,5641,191,51900000,5.4,197.57,TABLET,SEARCH,2024-07-24T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-23,6821,420,59530000,9.2,555.81,MOBILE,SEARCH,2024-07-24T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-23,5685,189,43250000,5.4,283.52,DESKTOP,SEARCH_PARTNERS,2024-07-24T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-23,7786,247,69020000,9.4,542.08,MOBILE,SEARCH,2024-07-24T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-24,3392,161,26490000,10.7,444.32,TABLET,SEARCH,2024-07-25T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-24,3837,164,55060000,4.4,159.62,DESKTOP,SEARCH,2024-07-25T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-24,4133,235,58810000,4.5,254.84,DESKTOP,SEARCH,2024-07-25T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-24,4967,168,40510000,4.4,263.06,MOBILE,SEARCH_PARTNERS,2024-07-25T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-24,7084,451,53120000,12.5,568.09,DESKTOP,SEARCH,2024-07-25T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-25,1633,105,27130000,7.3,415.98,DESKTOP,SEARCH,2024-07-26T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-25,6645,410,59950000,13.0,630.34,MOBILE,SEARCH,2024-07-26T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-25,4515,153,58420000,3.0,107.33,MOBILE,SEARCH,2024-07-26T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-25,5777,237,47900000,8.2,502.69,TABLET,SEARCH_PARTNERS,2024-07-26T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-25,7160,479,62130000,16.6,1024.2,DESKTOP,SEARCH,2024-07-26T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-26,3067,201,25150000,18.6,1207.36,DESKTOP,SEARCH,2024-07-27T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-26,7034,235,52000000,4.5,287.99,MOBILE,SEARCH,2024-07-27T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-26,5722,204,48900000,4.7,174.65,TABLET,SEARCH,2024-07-27T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-26,5686,301,41210000,7.4,299.12,DESKTOP,SEARCH_PARTNERS,2024-07-27T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-26,4579,161,64480000,5.9,344.23,DESKTOP,SEARCH,2024-07-27T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-27,3506,159,29860000,13.8,741.02,TABLET,SEARCH,2024-07-28T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-27,4247,208,59440000,4.5,231.87,TABLET,SEARCH,2024-07-28T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-27,8745,547,58870000,16.2,687.43,TABLET,SEARCH,2024-07-28T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-27,6599,447,49980000,13.3,636.45,MOBILE,SEARCH_PARTNERS,2024-07-28T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-27,8377,492,66280000,16.1,1013.02,DESKTOP,SEARCH,2024-07-28T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-28,3162,196,29100000,16.4,796.51,DESKTOP,SEARCH,2024-07-29T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-28,3358,106,54620000,2.7,168.4,DESKTOP,SEARCH,2024-07-29T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-28,4516,238,57850000,6.5,328.4,DESKTOP,SEARCH,2024-07-29T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-28,4813,198,45340000,5.2,284.79,DESKTOP,SEARCH_PARTNERS,2024-07-29T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-28,6057,356,64080000,10.6,569.53,MOBILE,SEARCH,2024-07-29T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-29,3120,184,22890000,15.1,869.45,DESKTOP,SEARCH,2024-07-30T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-29,6335,293,54780000,8.1,377.01,TABLET,SEARCH,2024-07-30T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-29,6975,397,51650000,12.4,681.51,DESKTOP,SEARCH,2024-07-30T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-29,3030,115,36630000,3.0,180.66,TABLET,SEARCH_PARTNERS,2024-07-30T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-29,4253,162,66500000,5.6,317.19,DESKTOP,SEARCH,2024-07-30T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-30,2334,143,31890000,12.3,764.11,TABLET,SEARCH,2024-07-31T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-30,7571,397,66060000,12.7,543.06,TABLET,SEARCH,2024-07-31T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-30,6909,364,51780000,9.6,495.36,TABLET,SEARCH,2024-07-31T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-30,6737,364,55130000,9.8,499.19,DESKTOP,SEARCH_PARTNERS,2024-07-31T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-30,5307,290,57950000,10.3,536.42,TABLET,SEARCH,2024-07-31T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-07-31,2303,142,29610000,10.9,426.11,MOBILE,SEARCH,2024-08-01T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-07-31,6830,216,47390000,6.3,354.48,DESKTOP,SEARCH,2024-08-01T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-07-31,4501,257,55700000,4.5,279.64,MOBILE,SEARCH,2024-08-01T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-07-31,5072,162,38950000,5.0,240.45,MOBILE,SEARCH_PARTNERS,2024-08-01T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-07-31,8144,421,58860000,15.5,633.89,DESKTOP,SEARCH,2024-08-01T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-08-01,2639,121,25500000,7.4,393.89,TABLET,SEARCH,2024-08-02T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-08-01,4300,185,53510000,3.3,132.29,MOBILE,SEARCH,2024-08-02T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-08-01,7636,273,58740000,5.1,220.62,DESKTOP,SEARCH,2024-08-02T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-08-01,4938,254,54530000,10.9,412.0,TABLET,SEARCH_PARTNERS,2024-08-02T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-08-01,8573,364,75890000,11.7,497.67,TABLET,SEARCH,2024-08-02T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-08-02,2884,118,26050000,8.0,377.16,TABLET,SEARCH,2024-08-03T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-08-02,3605,205,53890000,6.4,296.59,TABLET,SEARCH,2024-08-03T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-08-02,8922,328,62550000,8.6,501.58,DESKTOP,SEARCH,2024-08-03T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-08-02,5543,312,55570000,11.8,651.0,TABLET,SEARCH_PARTNERS,2024-08-03T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-08-02,5837,348,64550000,9.6,439.66,MOBILE,SEARCH,2024-08-03T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-08-03,2446,88,26610000,7.7,460.46,DESKTOP,SEARCH,2024-08-04T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-08-03,7883,283,59910000,6.0,310.22,DESKTOP,SEARCH,2024-08-04T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-08-03,5457,179,48040000,3.2,160.17,DESKTOP,SEARCH,2024-08-04T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-08-03,3454,237,50230000,10.6,600.22,DESKTOP,SEARCH_PARTNERS,2024-08-04T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-08-03,3946,133,58130000,3.4,127.8,TABLET,SEARCH,2024-08-04T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-08-04,3193,140,27530000,11.4,593.82,TABLET,SEARCH,2024-08-05T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-08-04,4952,184,68080000,5.9,328.68,MOBILE,SEARCH,2024-08-05T00:00:00
GC003,Non-Brand - Supplements UK,987654321,Vitalis UK,2024-08-04,5831,184,58350000,5.5,335.57,TABLET,SEARCH,2024-08-05T00:00:00
GC004,Shopping - All Products,987654321,Vitalis UK,2024-08-04,5304,219,48660000,8.0,414.33,DESKTOP,SEARCH_PARTNERS,2024-08-05T00:00:00
GC005,PMax - Wellness,987654321,Vitalis UK,2024-08-04,6417,426,76700000,12.8,555.52,DESKTOP,SEARCH,2024-08-05T00:00:00
GC001,Brand - Vitalis,987654321,Vitalis UK,2024-08-05,2722,149,27010000,11.0,525.33,DESKTOP,SEARCH,2024-08-06T00:00:00
GC002,Non-Brand - CBD Oil UK,987654321,Vitalis UK,2024-08-05,5180,212,51120000,5.4,318.31,MOBILE,SEARCH,2024-08-06T00:00:00
